matchNo,Date,Time,Team1,Team2,Score1,Score2
179,02.11.2018,18:20,Ohod,Al-Taawon,1,0
180,02.11.2018,17:35,Al Qadisiya,Al-Hilal,0,2
181,01.11.2018,19:50,Al-Ittihad FC,Al-Raed,1,2
182,01.11.2018,18:25,Al Wehda,Al-Shabab,0,1
183,01.11.2018,18:00,Al Batin,Al-Hazem,1,0
184,01.11.2018,18:00,Al-Faisaly,Al-Ettifaq,5,1
185,01.11.2018,17:35,Al-Fateh,Al Feiha,1,2
186,26.10.2018,19:45,Al Feiha,Al-Nassr,1,1
187,26.10.2018,18:25,Ohod,Al Wehda,1,3
188,26.10.2018,18:10,Al Batin,Al-Taawon,0,5
189,26.10.2018,18:05,Al-Shabab,Al Qadisiya,2,1
190,25.10.2018,20:30,Al-Hilal,Al-Ittihad FC,3,1
191,25.10.2018,18:30,Al Ahli SC,Al-Fateh,5,1
192,25.10.2018,17:40,Al-Ettifaq,Al-Hazem,1,0
193,24.10.2018,18:05,Al-Faisaly,Al-Raed,2,0
194,20.10.2018,19:45,Al-Shabab,Al-Hilal,0,1
195,20.10.2018,17:50,Al-Ettifaq,Al Ahli SC,6,2
196,19.10.2018,20:00,Al-Ittihad FC,Ohod,1,1
197,19.10.2018,18:15,Al-Raed,Al-Fateh,0,3
198,19.10.2018,18:10,Al Batin,Al-Nassr,0,2
199,19.10.2018,18:10,Al-Faisaly,Al-Taawon,1,4
200,18.10.2018,18:35,Al Wehda,Al Feiha,2,1
201,18.10.2018,18:15,Al-Hazem,Al Qadisiya,2,1
202,06.10.2018,18:05,Al Qadisiya,Al Wehda,0,1
203,05.10.2018,20:40,Al-Nassr,Al-Hazem,5,1
204,05.10.2018,18:50,Al Ahli SC,Al-Faisaly,2,0
205,05.10.2018,18:45,Ohod,Al Batin,0,1
206,05.10.2018,18:25,Al-Taawon,Al-Shabab,1,1
207,04.10.2018,18:20,Al Feiha,Al-Raed,0,3
208,04.10.2018,18:05,Al-Fateh,Al-Ittihad FC,2,0
209,29.09.2018,20:35,Al Ahli SC,Al Batin,2,0
210,28.09.2018,18:35,Al-Raed,Al-Shabab,1,1
211,28.09.2018,18:30,Al Feiha,Al Qadisiya,4,2
212,27.09.2018,18:35,Al-Hazem,Al-Faisaly,2,1
213,27.09.2018,18:10,Al-Ettifaq,Ohod,0,0
214,26.09.2018,20:35,Al-Ittihad FC,Al Wehda,2,2
215,24.09.2018,20:10,Al-Nassr,Al-Taawon,1,0
216,24.09.2018,18:10,Al-Fateh,Al-Hilal,2,3
217,22.09.2018,19:00,Al Wehda,Al-Raed,4,1
218,21.09.2018,20:35,Al Ahli SC,Al-Hazem,2,0
219,21.09.2018,18:35,Al-Faisaly,Ohod,2,0
220,21.09.2018,18:15,Al-Ettifaq,Al Feiha,3,0
221,20.09.2018,20:45,Al-Hilal,Al Batin,3,1
222,20.09.2018,18:45,Al-Taawon,Al-Ittihad FC,5,3
223,20.09.2018,18:30,Al-Shabab,Al-Fateh,1,1
224,19.09.2018,20:20,Al Qadisiya,Al-Nassr,0,3
225,15.09.2018,20:45,Al-Ittihad FC,Al Qadisiya,0,3
226,15.09.2018,18:50,Al-Raed,Al-Hilal,1,3
227,14.09.2018,20:30,Ohod,Al Ahli SC,0,2
228,14.09.2018,18:45,Al Feiha,Al-Shabab,1,3
229,14.09.2018,18:40,Al-Nassr,Al-Faisaly,2,1
230,13.09.2018,18:50,Al-Hazem,Al-Taawon,1,1
231,13.09.2018,18:30,Al-Fateh,Al Wehda,0,0
232,13.09.2018,18:25,Al-Ettifaq,Al Batin,3,2
233,01.09.2018,19:20,Al Ahli SC,Al-Taawon,1,1
234,31.08.2018,19:00,Al-Faisaly,Al Batin,2,2
235,31.08.2018,18:55,Al-Shabab,Al-Ittihad FC,1,0
236,31.08.2018,18:55,Al-Hilal,Al Feiha,1,0
237,31.08.2018,18:40,Al Qadisiya,Al-Fateh,0,0
238,30.08.2018,19:15,Ohod,Al-Nassr,1,2
239,30.08.2018,19:05,Al-Hazem,Al Wehda,0,0
240,30.08.2018,18:40,Al-Ettifaq,Al-Raed,1,1
