matchNo,Date,Time,Team1,Team2,Score1,Score2
106,09.02.2021,16:05,Al Ain,Al-Hilal,0,5
107,06.02.2021,18:20,Al-Shabab,Al-Raed,4,1
108,06.02.2021,16:00,Damk,Al Qadisiya,2,2
109,05.02.2021,20:15,Al Wehda,Al Ahli SC,2,4
110,05.02.2021,15:40,Al Batin,Al-Faisaly,0,2
111,04.02.2021,20:15,Al-Nassr,Al-Taawon,3,0
112,04.02.2021,18:50,Al-Ittihad FC,Al-Fateh,4,1
113,04.02.2021,18:15,Al-Hilal,Abha,2,3
114,04.02.2021,16:05,Al Ain,Al-Ettifaq,1,0
115,31.01.2021,20:10,Al Ahli SC,Al Batin,2,2
116,31.01.2021,18:00,Al Qadisiya,Al Wehda,2,2
117,31.01.2021,15:45,Al-Raed,Damk,4,2
118,30.01.2021,18:00,Al-Ettifaq,Al-Ittihad FC,2,0
119,30.01.2021,16:00,Abha,Al-Shabab,2,3
120,30.01.2021,15:40,Al-Faisaly,Al-Taawon,0,0
121,26.01.2021,15:30,Al Batin,Al Ain,2,1
122,25.01.2021,18:45,Al Wehda,Al-Shabab,2,4
123,25.01.2021,18:15,Al-Faisaly,Al-Hilal,1,1
124,25.01.2021,15:40,Al-Taawon,Damk,3,1
125,24.01.2021,20:10,Al-Ettifaq,Al Ahli SC,1,2
126,24.01.2021,18:40,Al-Ittihad FC,Al-Nassr,1,1
127,24.01.2021,17:55,Al-Fateh,Al-Raed,0,2
128,24.01.2021,15:55,Abha,Al Qadisiya,2,2
129,20.01.2021,20:10,Al-Nassr,Al Wehda,3,1
130,20.01.2021,18:10,Al-Hilal,Al-Taawon,2,0
131,20.01.2021,15:55,Damk,Al Batin,2,0
132,19.01.2021,20:10,Al Ahli SC,Abha,3,0
133,19.01.2021,18:10,Al-Shabab,Al-Faisaly,1,1
134,19.01.2021,17:50,Al Qadisiya,Al-Fateh,1,1
135,19.01.2021,16:00,Al Ain,Al-Ittihad FC,1,2
136,19.01.2021,15:40,Al-Raed,Al-Ettifaq,2,3
137,15.01.2021,20:10,Al Ahli SC,Al-Hilal,0,0
138,15.01.2021,18:10,Al-Raed,Al-Nassr,0,1
139,15.01.2021,15:55,Damk,Al Wehda,0,0
140,14.01.2021,20:10,Al-Ittihad FC,Abha,0,1
141,14.01.2021,17:50,Al-Fateh,Al-Taawon,1,2
142,14.01.2021,17:45,Al-Ettifaq,Al Batin,1,1
143,14.01.2021,15:55,Al Ain,Al-Shabab,0,3
144,14.01.2021,15:30,Al-Faisaly,Al Qadisiya,2,2
145,09.01.2021,19:55,Al-Ittihad FC,Damk,1,0
146,09.01.2021,17:55,Al-Shabab,Al-Ettifaq,1,0
147,09.01.2021,15:30,Al-Taawon,Al-Raed,0,0
148,08.01.2021,19:55,Al-Nassr,Al Ain,3,0
149,08.01.2021,17:40,Al Qadisiya,Al Ahli SC,3,1
150,08.01.2021,15:20,Al Batin,Al-Hilal,2,2
151,07.01.2021,18:35,Al Wehda,Al-Fateh,0,0
152,07.01.2021,15:50,Abha,Al-Faisaly,1,0
153,02.01.2021,18:30,Al Ahli SC,Al-Taawon,0,3
154,02.01.2021,15:25,Al-Raed,Al Qadisiya,2,2
155,01.01.2021,17:35,Al-Ettifaq,Al Wehda,1,2
156,01.01.2021,15:50,Al Ain,Abha,2,4
157,01.01.2021,15:45,Damk,Al-Fateh,1,2
158,31.12.2020,19:50,Al-Hilal,Al-Shabab,1,1
159,31.12.2020,17:55,Al-Faisaly,Al-Nassr,2,3
160,31.12.2020,15:10,Al Batin,Al-Ittihad FC,1,2
161,27.12.2020,19:40,Al Qadisiya,Al-Ettifaq,1,2
162,27.12.2020,17:55,Al-Raed,Al Ahli SC,1,2
163,27.12.2020,17:35,Al-Fateh,Al-Faisaly,3,2
164,27.12.2020,15:45,Al Ain,Al-Taawon,1,0
165,27.12.2020,15:40,Abha,Al Wehda,0,1
166,26.12.2020,19:50,Al-Hilal,Al-Ittihad FC,1,1
167,26.12.2020,17:50,Al-Nassr,Damk,2,2
168,26.12.2020,15:15,Al-Shabab,Al Batin,3,1
169,22.12.2020,19:50,Al Ahli SC,Al-Fateh,1,0
170,22.12.2020,18:20,Al Wehda,Al Ain,2,1
171,22.12.2020,17:50,Al-Faisaly,Al-Ettifaq,0,3
172,22.12.2020,15:40,Damk,Abha,2,1
173,21.12.2020,19:50,Al-Ittihad FC,Al-Raed,0,0
174,21.12.2020,17:55,Al-Taawon,Al-Shabab,4,0
175,21.12.2020,17:30,Al Qadisiya,Al-Hilal,1,3
176,21.12.2020,15:10,Al Batin,Al-Nassr,1,2
177,13.12.2020,19:45,Al-Hilal,Al Wehda,1,2
178,12.12.2020,19:45,Al-Nassr,Al Ahli SC,1,2
179,12.12.2020,17:30,Al-Fateh,Al Batin,1,2
180,12.12.2020,17:25,Al-Ettifaq,Damk,4,2
181,12.12.2020,15:35,Abha,Al-Taawon,0,0
182,11.12.2020,19:45,Al-Shabab,Al-Ittihad FC,1,1
183,11.12.2020,17:50,Al-Raed,Al-Faisaly,0,2
184,11.12.2020,15:35,Al Ain,Al Qadisiya,1,2
185,07.12.2020,19:45,Al-Nassr,Al-Ettifaq,2,2
186,07.12.2020,17:50,Al-Raed,Al-Hilal,0,1
187,07.12.2020,17:30,Al-Fateh,Abha,1,3
188,06.12.2020,19:45,Al Wehda,Al-Ittihad FC,1,2
189,06.12.2020,17:25,Al Qadisiya,Al-Shabab,2,1
190,05.12.2020,17:45,Al-Faisaly,Al Ain,1,1
191,05.12.2020,17:35,Al Batin,Al-Taawon,1,1
192,05.12.2020,15:30,Damk,Al Ahli SC,4,3
193,03.12.2020,17:40,Al-Hilal,Al-Fateh,3,0
194,03.12.2020,15:35,Abha,Al-Nassr,2,1
195,29.11.2020,19:40,Al Ahli SC,Al-Faisaly,2,1
196,29.11.2020,18:10,Al Wehda,Al Batin,3,2
197,29.11.2020,15:15,Al-Taawon,Al-Ettifaq,1,1
198,28.11.2020,15:35,Al Ain,Al-Raed,1,0
199,27.11.2020,19:40,Al-Ittihad FC,Al Qadisiya,1,0
200,27.11.2020,17:40,Al-Shabab,Damk,2,1
201,24.11.2020,19:30,Al-Ettifaq,Al-Fateh,0,4
202,24.11.2020,17:50,Al-Taawon,Al Wehda,1,0
203,23.11.2020,20:15,Al-Hilal,Al-Nassr,2,0
204,23.11.2020,18:15,Al Ahli SC,Al-Shabab,2,2
205,23.11.2020,17:45,Al-Faisaly,Al-Ittihad FC,1,1
206,23.11.2020,17:25,Al Qadisiya,Al Batin,2,2
207,23.11.2020,15:30,Damk,Al Ain,0,2
208,23.11.2020,15:15,Al-Raed,Abha,2,1
209,07.11.2020,19:45,Al-Nassr,Al Qadisiya,2,0
210,07.11.2020,17:35,Al-Fateh,Al-Shabab,1,3
211,07.11.2020,15:35,Al Ain,Al Ahli SC,3,4
212,06.11.2020,19:45,Al-Ittihad FC,Al-Taawon,1,1
213,06.11.2020,17:45,Al Batin,Abha,3,0
214,06.11.2020,17:30,Al-Ettifaq,Al-Hilal,0,2
215,06.11.2020,15:35,Damk,Al-Faisaly,0,0
216,05.11.2020,19:45,Al Wehda,Al-Raed,2,3
217,01.11.2020,19:50,Al-Shabab,Al-Nassr,2,1
218,31.10.2020,19:50,Al-Ittihad FC,Al Ahli SC,2,0
219,31.10.2020,18:15,Abha,Al-Ettifaq,3,2
220,31.10.2020,17:50,Al-Hilal,Damk,2,0
221,30.10.2020,19:50,Al Wehda,Al-Faisaly,1,2
222,30.10.2020,15:40,Al Ain,Al-Fateh,2,4
223,29.10.2020,19:50,Al Qadisiya,Al-Taawon,1,0
224,29.10.2020,17:50,Al Batin,Al-Raed,2,1
225,24.10.2020,19:55,Al-Fateh,Al-Ittihad FC,2,2
226,24.10.2020,17:40,Al-Ettifaq,Al Ain,2,1
227,23.10.2020,19:55,Al-Faisaly,Al Batin,2,1
228,23.10.2020,18:05,Al-Raed,Al-Shabab,2,2
229,23.10.2020,17:40,Al Qadisiya,Damk,2,1
230,22.10.2020,19:55,Al Ahli SC,Al Wehda,1,0
231,22.10.2020,18:05,Al-Taawon,Al-Nassr,1,0
232,22.10.2020,15:40,Abha,Al-Hilal,1,1
233,18.10.2020,20:00,Al-Ittihad FC,Al-Ettifaq,1,2
234,18.10.2020,18:20,Damk,Al-Raed,2,3
235,18.10.2020,18:00,Al Batin,Al Ahli SC,0,1
236,18.10.2020,18:00,Al-Nassr,Al-Fateh,1,2
237,17.10.2020,21:15,Al-Hilal,Al Ain,1,0
238,17.10.2020,20:00,Al Wehda,Al Qadisiya,2,1
239,17.10.2020,18:10,Al-Taawon,Al-Faisaly,1,1
240,17.10.2020,18:00,Al-Shabab,Abha,1,0
