matchNo,Date,Time,Team1,Team2,Score1,Score2
1,30.05.2021,21:00,Al-Nassr,Al-Ittihad FC,1,2
2,30.05.2021,21:00,Al-Hilal,Al-Faisaly,3,2
3,30.05.2021,21:00,Al Ahli SC,Al-Ettifaq,1,2
4,30.05.2021,21:00,Al-Shabab,Al Wehda,3,0
5,30.05.2021,21:00,Al-Raed,Al-Fateh,2,2
6,30.05.2021,21:00,Al Ain,Al Batin,3,4
7,30.05.2021,21:00,Damk,Al-Taawon,2,0
8,30.05.2021,21:00,Al Qadisiya,Abha,1,1
9,26.05.2021,21:00,Al Batin,Damk,0,2
10,25.05.2021,21:00,Al Wehda,Al-Nassr,1,1
11,25.05.2021,21:00,Al-Fateh,Al Qadisiya,3,0
12,25.05.2021,21:00,Al-Ettifaq,Al-Raed,3,1
13,25.05.2021,21:00,Al-Ittihad FC,Al Ain,1,0
14,25.05.2021,21:00,Abha,Al Ahli SC,1,1
15,23.05.2021,21:00,Al-Taawon,Al-Hilal,0,1
16,23.05.2021,21:00,Al-Faisaly,Al-Shabab,1,5
17,20.05.2021,21:00,Al-Nassr,Al-Raed,3,1
18,20.05.2021,19:30,Al Wehda,Damk,1,1
19,20.05.2021,19:15,Abha,Al-Ittihad FC,1,2
20,19.05.2021,21:00,Al-Hilal,Al Ahli SC,5,1
21,19.05.2021,19:20,Al Batin,Al-Ettifaq,3,2
22,19.05.2021,19:10,Al-Shabab,Al Ain,5,1
23,15.05.2021,21:00,Damk,Al-Ittihad FC,1,1
24,15.05.2021,19:20,Al-Raed,Al-Taawon,1,2
25,15.05.2021,18:55,Al-Fateh,Al Wehda,2,3
26,14.05.2021,21:00,Al Ahli SC,Al Qadisiya,1,0
27,14.05.2021,21:00,Al-Hilal,Al Batin,1,1
28,14.05.2021,19:20,Al Ain,Al-Nassr,0,2
29,14.05.2021,19:15,Al-Faisaly,Abha,2,1
30,14.05.2021,18:50,Al-Ettifaq,Al-Shabab,4,3
31,07.05.2021,21:50,Al-Taawon,Al Ahli SC,4,2
32,07.05.2021,21:40,Al-Shabab,Al-Hilal,1,5
33,05.05.2021,21:40,Al-Nassr,Al-Faisaly,4,3
34,29.04.2021,21:35,Al Qadisiya,Al-Faisaly,1,2
35,25.04.2021,22:00,Al-Taawon,Al-Fateh,3,4
36,17.04.2021,22:10,Al Wehda,Al-Ettifaq,0,1
37,17.04.2021,21:35,Al-Fateh,Damk,1,1
38,16.04.2021,22:10,Al-Ittihad FC,Al Batin,0,0
39,16.04.2021,21:35,Al Qadisiya,Al-Raed,0,1
40,15.04.2021,21:50,Abha,Al Ain,1,0
41,10.04.2021,20:15,Al-Ettifaq,Al Qadisiya,1,3
42,10.04.2021,18:55,Al-Faisaly,Al-Fateh,2,3
43,10.04.2021,18:55,Al Batin,Al-Shabab,1,4
44,09.04.2021,20:50,Al-Ittihad FC,Al-Hilal,2,0
45,09.04.2021,19:05,Damk,Al-Nassr,3,2
46,09.04.2021,19:00,Al-Taawon,Al Ain,3,0
47,08.04.2021,20:50,Al Ahli SC,Al-Raed,2,3
48,21.03.2021,16:10,Al Ain,Al Wehda,4,0
49,21.03.2021,16:05,Abha,Damk,3,4
50,20.03.2021,20:45,Al-Nassr,Al Batin,7,0
51,20.03.2021,20:45,Al-Hilal,Al Qadisiya,1,0
52,20.03.2021,18:40,Al-Shabab,Al-Taawon,1,3
53,20.03.2021,18:30,Al-Fateh,Al Ahli SC,4,1
54,20.03.2021,18:30,Al-Ettifaq,Al-Faisaly,1,0
55,20.03.2021,16:15,Al-Raed,Al-Ittihad FC,1,1
56,15.03.2021,19:10,Al Wehda,Abha,1,4
57,11.03.2021,20:45,Al Ahli SC,Al-Nassr,1,2
58,11.03.2021,19:05,Al Wehda,Al-Hilal,2,4
59,11.03.2021,16:10,Damk,Al-Ettifaq,1,1
60,10.03.2021,20:45,Al-Ittihad FC,Al-Shabab,2,1
61,10.03.2021,20:15,Al-Faisaly,Al-Raed,0,1
62,10.03.2021,18:50,Al-Taawon,Abha,1,0
63,10.03.2021,18:25,Al Qadisiya,Al Ain,3,3
64,10.03.2021,15:50,Al Batin,Al-Fateh,0,2
65,06.03.2021,20:35,Al Ahli SC,Damk,1,3
66,05.03.2021,20:35,Al-Ittihad FC,Al Wehda,4,2
67,05.03.2021,20:35,Al-Hilal,Al-Raed,2,1
68,05.03.2021,18:35,Al-Shabab,Al Qadisiya,1,1
69,05.03.2021,18:20,Al-Ettifaq,Al-Nassr,1,1
70,05.03.2021,16:15,Al Ain,Al-Faisaly,1,1
71,05.03.2021,16:10,Abha,Al-Fateh,2,1
72,04.03.2021,18:45,Al-Taawon,Al Batin,2,2
73,01.03.2021,16:05,Damk,Al-Shabab,1,2
74,28.02.2021,20:30,Al-Nassr,Abha,2,2
75,28.02.2021,18:20,Al-Fateh,Al-Hilal,2,5
76,28.02.2021,18:15,Al Qadisiya,Al-Ittihad FC,1,4
77,28.02.2021,16:00,Al-Raed,Al Ain,4,0
78,27.02.2021,20:30,Al-Faisaly,Al Ahli SC,2,1
79,27.02.2021,18:15,Al-Ettifaq,Al-Taawon,0,3
80,27.02.2021,15:50,Al Batin,Al Wehda,3,0
81,23.02.2021,20:35,Al-Nassr,Al-Hilal,1,0
82,23.02.2021,19:00,Al-Ittihad FC,Al-Faisaly,1,3
83,23.02.2021,18:20,Al-Fateh,Al-Ettifaq,2,3
84,23.02.2021,16:10,Al Ain,Damk,1,1
85,23.02.2021,15:45,Al Batin,Al Qadisiya,2,2
86,22.02.2021,20:35,Al-Shabab,Al Ahli SC,3,0
87,22.02.2021,19:00,Al Wehda,Al-Taawon,0,2
88,22.02.2021,16:10,Abha,Al-Raed,0,3
89,18.02.2021,20:20,Al-Hilal,Al-Ettifaq,3,1
90,18.02.2021,18:10,Al Qadisiya,Al-Nassr,1,0
91,18.02.2021,15:55,Al-Taawon,Al-Ittihad FC,1,2
92,18.02.2021,15:50,Al-Faisaly,Damk,2,0
93,17.02.2021,20:20,Al Ahli SC,Al Ain,1,1
94,17.02.2021,18:25,Al-Shabab,Al-Fateh,1,2
95,17.02.2021,16:05,Abha,Al Batin,1,2
96,17.02.2021,15:55,Al-Raed,Al Wehda,1,3
97,14.02.2021,16:05,Damk,Al-Hilal,1,0
98,13.02.2021,20:20,Al-Nassr,Al-Shabab,0,4
99,13.02.2021,18:10,Al-Fateh,Al Ain,3,2
100,13.02.2021,15:50,Al-Taawon,Al Qadisiya,0,2
101,12.02.2021,18:30,Al-Raed,Al Batin,1,2
102,12.02.2021,15:45,Al-Faisaly,Al Wehda,2,4
103,11.02.2021,20:20,Al Ahli SC,Al-Ittihad FC,1,1
104,11.02.2021,18:05,Al-Ettifaq,Abha,4,1
105,09.02.2021,18:10,Al-Fateh,Al-Nassr,1,1
