matchNo,Date,Time,Team1,Team2,Score1,Score2
99,14.03.2024,22:00,Abha,Al Wehda,1,0
100,09.03.2024,20:00,Al-Taawon,Al Ahli SC,0,1
101,09.03.2024,17:00,Al-Fateh,Al Khaleej,1,2
102,09.03.2024,17:00,Al-Ettifaq,Abha,3,0
103,08.03.2024,20:00,Al-Ittihad FC,Al-Okhdood,2,1
104,08.03.2024,17:00,Al Taee,Al-Hazem,1,0
105,08.03.2024,17:00,Al Riyadh,Al-Hilal,1,3
106,07.03.2024,20:00,Al-Nassr,Al-Raed,1,3
107,07.03.2024,17:00,Damk,Al Wehda,1,0
108,07.03.2024,17:00,Al-Shabab,Al Feiha,2,3
109,02.03.2024,20:00,Al Ahli SC,Al-Fateh,1,1
110,02.03.2024,17:00,Al Khaleej,Al-Shabab,0,0
111,02.03.2024,17:00,Damk,Al-Ettifaq,0,2
112,01.03.2024,20:00,Al-Hilal,Al-Ittihad FC,3,1
113,01.03.2024,17:00,Al-Okhdood,Al Riyadh,1,2
114,01.03.2024,17:00,Abha,Al Taee,2,0
115,29.02.2024,20:00,Al-Nassr,Al-Hazem,4,4
116,29.02.2024,17:00,Al Wehda,Al-Taawon,3,3
117,29.02.2024,17:00,Al-Raed,Al Feiha,1,2
118,26.02.2024,20:00,Al-Ittihad FC,Al Wehda,2,1
119,26.02.2024,17:00,Al-Ettifaq,Al-Hilal,0,2
120,25.02.2024,20:00,Al-Shabab,Al-Nassr,2,3
121,25.02.2024,17:00,Al Feiha,Abha,3,2
122,24.02.2024,20:00,Al-Hazem,Al Khaleej,1,1
123,24.02.2024,17:00,Al Taee,Al Ahli SC,1,4
124,23.02.2024,20:00,Al-Fateh,Damk,1,1
125,23.02.2024,17:00,Al-Taawon,Al-Okhdood,3,1
126,23.02.2024,17:00,Al Riyadh,Al-Raed,1,1
127,18.02.2024,20:00,Al-Ittihad FC,Al Riyadh,2,0
128,18.02.2024,17:00,Al-Hilal,Al-Raed,3,1
129,17.02.2024,20:00,Al-Nassr,Al-Fateh,2,1
130,17.02.2024,17:00,Al-Hazem,Al Feiha,1,3
131,16.02.2024,20:00,Al-Okhdood,Al Ahli SC,3,2
132,16.02.2024,20:00,Al Wehda,Al Taee,1,1
133,16.02.2024,17:00,Damk,Al-Shabab,0,1
134,15.02.2024,20:00,Al Khaleej,Al-Ettifaq,0,2
135,15.02.2024,17:00,Abha,Al-Taawon,1,1
136,07.02.2024,21:00,Al Taee,Al-Ittihad FC,0,3
137,30.12.2023,21:00,Al-Shabab,Al Wehda,1,0
138,30.12.2023,21:00,Al-Taawon,Al-Nassr,1,4
139,30.12.2023,18:00,Al-Fateh,Al-Okhdood,0,0
140,29.12.2023,21:00,Al Ahli SC,Al Khaleej,1,0
141,29.12.2023,18:00,Al Feiha,Al-Hilal,0,2
142,29.12.2023,18:00,Al-Raed,Abha,4,3
143,28.12.2023,18:00,Al-Ettifaq,Al-Hazem,1,1
144,28.12.2023,18:00,Al Riyadh,Damk,1,0
145,26.12.2023,21:00,Al-Ittihad FC,Al-Nassr,2,5
146,24.12.2023,21:00,Al Wehda,Al Riyadh,3,1
147,23.12.2023,21:00,Al-Ittihad FC,Al-Raed,1,3
148,23.12.2023,18:00,Al-Taawon,Al-Fateh,1,3
149,22.12.2023,18:00,Al-Nassr,Al-Ettifaq,3,1
150,22.12.2023,18:00,Al-Hazem,Al Ahli SC,0,4
151,22.12.2023,18:00,Al-Okhdood,Al-Shabab,1,0
152,21.12.2023,21:00,Al-Hilal,Abha,7,0
153,21.12.2023,18:00,Al Khaleej,Al Feiha,3,0
154,21.12.2023,18:00,Damk,Al Taee,3,0
