matchNo,Date,Time,Team1,Team2,Score1,Score2
137,25.12.2021,17:50,Al-Hilal,Al-Fateh,2,3
138,25.12.2021,15:40,Damk,Al Batin,1,1
139,16.12.2021,15:15,Al-Hilal,Al-Nassr,0,2
140,10.12.2021,17:40,Al-Hilal,Al Feiha,0,0
141,10.12.2021,15:25,Al Taee,Al-Nassr,2,1
142,28.11.2021,15:30,Abha,Al-Hilal,1,1
143,27.11.2021,19:40,Al-Ittihad FC,Al Taee,1,0
144,27.11.2021,17:25,Al-Ettifaq,Al-Faisaly,1,0
145,27.11.2021,15:00,Al Batin,Al-Hazem,0,0
146,26.11.2021,19:40,Al Ahli SC,Al-Nassr,1,2
147,26.11.2021,17:50,Al-Taawon,Al Feiha,1,1
148,25.11.2021,19:40,Al-Shabab,Al-Raed,3,0
149,25.11.2021,17:30,Al-Fateh,Damk,5,5
150,21.11.2021,17:40,Al Batin,Al-Taawon,3,2
151,21.11.2021,15:30,Abha,Al Ahli SC,2,0
152,21.11.2021,15:15,Al-Hazem,Al-Ettifaq,0,3
153,20.11.2021,19:40,Al-Nassr,Al-Raed,2,2
154,20.11.2021,17:45,Al-Faisaly,Al-Shabab,0,0
155,20.11.2021,15:30,Damk,Al Feiha,1,0
156,20.11.2021,15:20,Al Taee,Al-Fateh,1,0
157,05.11.2021,17:55,Al Feiha,Al-Hazem,1,0
158,05.11.2021,17:50,Al-Shabab,Al-Nassr,1,0
159,04.11.2021,19:45,Al-Ittihad FC,Al-Fateh,3,0
160,04.11.2021,19:00,Al-Ettifaq,Al-Taawon,1,3
161,04.11.2021,17:55,Al-Faisaly,Abha,1,0
162,04.11.2021,17:50,Al-Hilal,Damk,2,0
163,03.11.2021,19:45,Al Ahli SC,Al Batin,1,0
164,03.11.2021,18:00,Al-Raed,Al Taee,4,0
165,30.10.2021,19:50,Al Feiha,Al-Nassr,1,1
166,30.10.2021,18:05,Al-Taawon,Abha,2,0
167,30.10.2021,17:40,Al-Ettifaq,Damk,0,1
168,29.10.2021,19:50,Al Ahli SC,Al-Hilal,1,1
169,29.10.2021,18:05,Al-Raed,Al Batin,1,0
170,28.10.2021,19:50,Al-Shabab,Al Taee,3,0
171,28.10.2021,18:05,Al-Hazem,Al-Ittihad FC,0,1
172,24.10.2021,18:00,Al-Nassr,Al-Ettifaq,0,1
173,23.10.2021,20:00,Al-Hilal,Al-Raed,3,2
174,23.10.2021,18:20,Abha,Al-Fateh,3,1
175,22.10.2021,20:00,Al-Ittihad FC,Al-Shabab,0,2
176,22.10.2021,18:20,Damk,Al-Hazem,1,0
177,22.10.2021,18:05,Al-Faisaly,Al-Taawon,2,2
178,21.10.2021,20:00,Al Taee,Al Ahli SC,1,2
179,21.10.2021,17:55,Al Batin,Al Feiha,2,0
180,17.10.2021,18:25,Damk,Al-Ittihad FC,1,1
181,17.10.2021,18:15,Al-Hazem,Al-Faisaly,0,0
182,17.10.2021,17:50,Al-Fateh,Al-Taawon,3,0
183,16.10.2021,20:10,Al Ahli SC,Al-Ettifaq,4,0
184,16.10.2021,18:20,Al Taee,Abha,0,1
185,16.10.2021,18:05,Al Feiha,Al-Raed,1,0
186,16.10.2021,18:00,Al Batin,Al-Shabab,0,3
187,02.10.2021,18:30,Al-Taawon,Al Taee,1,2
188,01.10.2021,20:20,Al-Ittihad FC,Al Ahli SC,2,0
189,01.10.2021,18:25,Al-Faisaly,Al Batin,2,2
190,01.10.2021,18:20,Al-Shabab,Al Feiha,2,1
191,30.09.2021,20:20,Al-Ettifaq,Al-Fateh,0,0
192,30.09.2021,20:20,Al-Hazem,Al-Hilal,1,1
193,30.09.2021,18:35,Abha,Al-Nassr,1,3
194,30.09.2021,18:30,Al-Raed,Damk,0,2
195,25.09.2021,20:25,Al-Raed,Al-Faisaly,1,1
196,25.09.2021,18:15,Al-Fateh,Al-Hazem,0,1
197,24.09.2021,20:25,Al-Ittihad FC,Al-Taawon,1,1
198,24.09.2021,18:40,Abha,Damk,1,3
199,23.09.2021,20:25,Al-Shabab,Al-Hilal,2,2
200,23.09.2021,18:45,Al Taee,Al-Ettifaq,4,2
201,23.09.2021,18:30,Al Feiha,Al Ahli SC,2,0
202,23.09.2021,18:25,Al-Nassr,Al Batin,1,0
203,18.09.2021,20:30,Al-Nassr,Al-Ittihad FC,1,3
204,18.09.2021,18:45,Al-Hazem,Abha,2,0
205,18.09.2021,18:30,Al-Hilal,Al-Ettifaq,3,2
206,17.09.2021,20:30,Al Ahli SC,Al-Fateh,1,1
207,17.09.2021,18:45,Al-Taawon,Al-Raed,3,5
208,17.09.2021,18:45,Damk,Al-Shabab,1,1
209,16.09.2021,20:30,Al-Faisaly,Al Feiha,2,1
210,16.09.2021,18:35,Al Batin,Al Taee,0,0
211,12.09.2021,20:35,Al-Shabab,Al-Hazem,2,0
212,12.09.2021,18:50,Al-Taawon,Al Ahli SC,1,1
213,12.09.2021,18:40,Al Batin,Al-Fateh,0,2
214,12.09.2021,18:30,Al-Ettifaq,Al-Raed,2,2
215,11.09.2021,20:35,Al-Ittihad FC,Abha,6,1
216,11.09.2021,18:50,Damk,Al-Faisaly,2,0
217,27.08.2021,20:45,Al-Hilal,Al Batin,0,0
218,27.08.2021,19:15,Al Taee,Al Feiha,1,3
219,27.08.2021,19:00,Al-Faisaly,Al-Ittihad FC,1,2
220,26.08.2021,20:45,Al-Nassr,Al-Taawon,3,1
221,26.08.2021,19:05,Abha,Al-Ettifaq,1,1
222,26.08.2021,18:45,Al-Fateh,Al-Shabab,2,0
223,25.08.2021,20:45,Al Ahli SC,Damk,1,1
224,25.08.2021,19:05,Al-Raed,Al-Hazem,2,0
225,21.08.2021,20:50,Al-Shabab,Al-Ettifaq,3,3
226,21.08.2021,18:50,Al-Fateh,Al Feiha,1,1
227,20.08.2021,20:50,Al-Taawon,Al-Hilal,1,2
228,20.08.2021,19:10,Damk,Al Taee,1,0
229,20.08.2021,19:05,Al Batin,Abha,2,1
230,19.08.2021,20:50,Al-Faisaly,Al-Nassr,2,1
231,19.08.2021,19:10,Al-Hazem,Al Ahli SC,2,2
232,16.08.2021,20:50,Al-Ittihad FC,Al-Raed,3,0
233,14.08.2021,20:55,Al-Hilal,Al Taee,1,0
234,14.08.2021,18:55,Al-Ettifaq,Al Batin,2,1
235,13.08.2021,20:55,Al Ahli SC,Al-Faisaly,1,1
236,13.08.2021,19:05,Al-Nassr,Damk,4,1
237,12.08.2021,20:55,Al-Hazem,Al-Taawon,3,3
238,12.08.2021,19:20,Al-Raed,Al-Fateh,1,0
239,12.08.2021,19:15,Abha,Al-Shabab,2,1
240,11.08.2021,19:15,Al Feiha,Al-Ittihad FC,1,0
