matchNo,Date,Time,Team1,Team2,Score1,Score2
1,27.06.2022,21:00,Al-Hilal,Al-Faisaly,2,1
2,27.06.2022,21:00,Al-Shabab,Al Ahli SC,0,0
3,27.06.2022,21:00,Al Feiha,Al-Ettifaq,0,1
4,27.06.2022,21:00,Al Taee,Al-Hazem,3,0
5,27.06.2022,21:00,Al-Nassr,Al-Fateh,2,1
6,27.06.2022,21:00,Al-Ittihad FC,Al Batin,0,0
7,27.06.2022,21:00,Al-Raed,Abha,1,0
8,27.06.2022,21:00,Damk,Al-Taawon,1,1
9,23.06.2022,21:00,Al-Fateh,Al-Hilal,0,3
10,23.06.2022,21:00,Al-Taawon,Al-Shabab,1,1
11,23.06.2022,21:00,Al Batin,Damk,2,1
12,23.06.2022,21:00,Al-Ettifaq,Al-Ittihad FC,1,3
13,23.06.2022,21:00,Abha,Al Feiha,0,0
14,23.06.2022,21:00,Al Ahli SC,Al-Raed,1,3
15,23.06.2022,21:00,Al-Hazem,Al-Nassr,1,4
16,23.06.2022,21:00,Al-Faisaly,Al Taee,1,0
17,29.05.2022,21:00,Al-Hilal,Abha,2,0
18,29.05.2022,21:00,Al Taee,Al-Ittihad FC,1,0
19,29.05.2022,19:20,Al Feiha,Al-Taawon,0,1
20,29.05.2022,19:15,Damk,Al-Fateh,0,3
21,28.05.2022,19:20,Al-Faisaly,Al-Ettifaq,1,1
22,28.05.2022,19:20,Al-Nassr,Al Ahli SC,1,1
23,27.05.2022,21:00,Al-Raed,Al-Shabab,0,2
24,27.05.2022,19:25,Al-Hazem,Al Batin,2,3
25,23.05.2022,21:00,Al-Ittihad FC,Al-Hilal,1,3
26,23.05.2022,19:20,Al Feiha,Damk,0,0
27,22.05.2022,21:00,Al Ahli SC,Abha,1,1
28,22.05.2022,19:00,Al-Fateh,Al Taee,1,2
29,21.05.2022,21:00,Al-Raed,Al-Nassr,0,3
30,21.05.2022,19:00,Al-Ettifaq,Al-Hazem,5,2
31,12.05.2022,20:50,Al-Shabab,Al-Faisaly,1,0
32,12.05.2022,19:20,Al-Taawon,Al Batin,1,0
33,11.05.2022,18:55,Al-Ettifaq,Al-Hilal,0,2
34,07.05.2022,20:50,Al Taee,Al-Raed,2,2
35,07.05.2022,19:20,Al-Hazem,Al Feiha,3,1
36,07.05.2022,19:10,Damk,Al-Hilal,2,4
37,06.05.2022,20:50,Al-Nassr,Al-Shabab,4,2
38,06.05.2022,19:10,Abha,Al-Faisaly,0,0
39,06.05.2022,18:50,Al-Fateh,Al-Ittihad FC,4,4
40,05.05.2022,20:50,Al Batin,Al Ahli SC,2,2
41,05.05.2022,19:20,Al-Taawon,Al-Ettifaq,0,4
42,03.05.2022,19:10,Al Feiha,Al-Hilal,1,0
43,19.03.2022,18:55,Abha,Al-Taawon,1,1
44,19.03.2022,18:45,Al Batin,Al-Raed,2,0
45,18.03.2022,20:50,Al-Hilal,Al Ahli SC,4,2
46,18.03.2022,19:05,Al-Ittihad FC,Al-Hazem,3,0
47,18.03.2022,19:00,Al Taee,Al-Shabab,2,2
48,17.03.2022,20:50,Al-Nassr,Al Feiha,1,0
49,17.03.2022,18:55,Damk,Al-Ettifaq,1,0
50,17.03.2022,18:45,Al-Faisaly,Al-Fateh,1,0
51,13.03.2022,20:45,Al-Shabab,Al-Ittihad FC,0,2
52,13.03.2022,18:50,Al-Raed,Al-Hilal,0,1
53,12.03.2022,20:45,Al Ahli SC,Al Taee,3,1
54,12.03.2022,18:50,Al-Hazem,Damk,0,1
55,11.03.2022,20:45,Al-Ettifaq,Al-Nassr,2,2
56,11.03.2022,18:45,Al Feiha,Al Batin,1,0
57,10.03.2022,18:50,Al-Taawon,Al-Faisaly,2,2
58,10.03.2022,18:25,Al-Fateh,Abha,3,0
59,08.03.2022,20:45,Al-Hilal,Al-Ittihad FC,2,1
60,05.03.2022,20:45,Al-Shabab,Al Batin,4,0
61,05.03.2022,18:45,Al-Raed,Al Feiha,1,0
62,05.03.2022,18:40,Al-Faisaly,Al-Hazem,1,0
63,04.03.2022,20:45,Al-Ettifaq,Al Ahli SC,1,0
64,04.03.2022,18:45,Al-Taawon,Al-Fateh,1,1
65,04.03.2022,16:15,Abha,Al Taee,1,0
66,03.03.2022,21:00,Al-Nassr,Al-Hilal,0,4
67,03.03.2022,19:00,Al-Ittihad FC,Damk,2,1
68,27.02.2022,20:40,Al Feiha,Al-Shabab,1,2
69,27.02.2022,18:15,Al-Fateh,Al-Ettifaq,4,0
70,27.02.2022,16:10,Al Taee,Al-Taawon,1,1
71,27.02.2022,15:50,Al Batin,Al-Faisaly,1,0
72,26.02.2022,21:00,Al Ahli SC,Al-Ittihad FC,3,4
73,26.02.2022,18:25,Al-Hilal,Al-Hazem,2,0
74,26.02.2022,18:25,Al-Nassr,Abha,2,1
75,26.02.2022,16:15,Damk,Al-Raed,3,2
76,22.02.2022,18:15,Al-Fateh,Al-Faisaly,4,1
77,19.02.2022,18:10,Al-Ettifaq,Al Taee,0,1
78,19.02.2022,16:10,Damk,Abha,3,2
79,18.02.2022,18:30,Al-Faisaly,Al-Raed,0,0
80,18.02.2022,16:00,Al-Hazem,Al-Fateh,0,1
81,17.02.2022,20:40,Al-Hilal,Al-Shabab,5,0
82,17.02.2022,18:55,Al Ahli SC,Al Feiha,1,1
83,17.02.2022,18:35,Al-Taawon,Al-Ittihad FC,1,1
84,17.02.2022,15:45,Al Batin,Al-Nassr,3,4
85,12.02.2022,18:30,Al-Raed,Al-Taawon,0,3
86,12.02.2022,16:00,Al Taee,Al Batin,3,1
87,11.02.2022,20:20,Al-Ittihad FC,Al-Nassr,3,0
88,11.02.2022,18:10,Al-Fateh,Al Ahli SC,0,1
89,11.02.2022,16:05,Abha,Al-Hazem,2,1
90,10.02.2022,20:20,Al Feiha,Al-Faisaly,0,0
91,10.02.2022,18:20,Al-Shabab,Damk,2,1
92,06.02.2022,18:20,Al-Nassr,Al Taee,4,1
93,06.02.2022,18:05,Al-Fateh,Al Batin,2,3
94,06.02.2022,16:05,Abha,Al-Ittihad FC,0,4
95,05.02.2022,20:20,Al Ahli SC,Al-Taawon,1,1
96,05.02.2022,18:20,Al-Faisaly,Damk,3,0
97,05.02.2022,15:50,Al-Hazem,Al-Shabab,1,2
98,05.02.2022,15:50,Al-Raed,Al-Ettifaq,1,1
99,22.01.2022,18:20,Al-Hazem,Al-Raed,2,0
100,22.01.2022,15:35,Al Feiha,Al Taee,2,0
101,21.01.2022,20:10,Al-Ittihad FC,Al-Faisaly,1,0
102,21.01.2022,15:55,Damk,Al Ahli SC,1,1
103,21.01.2022,15:40,Al-Taawon,Al-Nassr,0,1
104,21.01.2022,15:30,Al Batin,Al-Hilal,1,1
105,20.01.2022,18:10,Al-Shabab,Al-Fateh,1,1
106,20.01.2022,17:50,Al-Ettifaq,Abha,1,2
107,15.01.2022,20:00,Al-Hilal,Al-Taawon,3,2
108,15.01.2022,20:00,Al Ahli SC,Al-Hazem,1,0
109,15.01.2022,18:05,Al-Nassr,Al-Faisaly,4,0
110,15.01.2022,15:40,Al Taee,Damk,1,2
111,14.01.2022,17:50,Al-Ettifaq,Al-Shabab,2,2
112,14.01.2022,15:50,Abha,Al Batin,1,0
113,14.01.2022,15:35,Al-Raed,Al-Ittihad FC,1,2
114,13.01.2022,15:30,Al Feiha,Al-Fateh,0,0
115,11.01.2022,18:05,Al-Faisaly,Al Ahli SC,2,2
116,11.01.2022,15:40,Al Taee,Al-Hilal,0,4
117,08.01.2022,18:00,Al-Shabab,Abha,1,1
118,08.01.2022,17:45,Al-Fateh,Al-Raed,2,3
119,08.01.2022,15:50,Damk,Al-Nassr,0,2
120,07.01.2022,19:55,Al-Ittihad FC,Al Feiha,2,0
121,07.01.2022,18:05,Al-Taawon,Al-Hazem,2,1
122,07.01.2022,15:20,Al Batin,Al-Ettifaq,0,0
123,01.01.2022,19:50,Al Ahli SC,Al-Shabab,3,4
124,01.01.2022,17:40,Al-Fateh,Al-Nassr,0,1
125,01.01.2022,15:45,Abha,Al-Raed,1,0
126,01.01.2022,15:25,Al-Taawon,Damk,3,0
127,31.12.2021,18:05,Al-Faisaly,Al-Hilal,2,3
128,31.12.2021,17:35,Al-Ettifaq,Al Feiha,1,1
129,31.12.2021,15:30,Al-Hazem,Al Taee,0,1
130,31.12.2021,15:10,Al Batin,Al-Ittihad FC,2,3
131,27.12.2021,17:50,Al-Shabab,Al-Taawon,3,1
132,27.12.2021,15:20,Al-Raed,Al Ahli SC,1,0
133,26.12.2021,19:45,Al-Ittihad FC,Al-Ettifaq,3,2
134,26.12.2021,17:50,Al-Nassr,Al-Hazem,2,1
135,26.12.2021,15:30,Al Taee,Al-Faisaly,3,1
136,25.12.2021,17:55,Al Feiha,Abha,0,0
