matchNo,Date,Time,Team1,Team2,Score1,Score2
197,05.10.2019,18:05,Al-Adalah,Al-Shabab,0,1
198,05.10.2019,18:00,Al-Ettifaq,Al-Hilal,1,4
199,04.10.2019,20:10,Al-Ittihad FC,Al-Hazem,1,2
200,04.10.2019,18:05,Al-Fateh,Al-Raed,2,2
201,03.10.2019,18:35,Damk,Al Wehda,0,1
202,01.10.2019,20:10,Al-Ittihad FC,Al-Taawon,3,1
203,28.09.2019,20:15,Al-Raed,Al Feiha,2,0
204,28.09.2019,18:35,Al-Hazem,Damk,4,0
205,28.09.2019,18:30,Al-Faisaly,Al-Adalah,3,1
206,27.09.2019,20:15,Al Wehda,Al-Fateh,2,0
207,27.09.2019,20:15,Al Ahli SC,Al-Nassr,0,0
208,27.09.2019,18:25,Al-Shabab,Al-Ittihad FC,1,2
209,26.09.2019,20:15,Al-Hilal,Al-Taawon,2,1
210,26.09.2019,18:45,Abha,Al-Ettifaq,1,0
211,21.09.2019,20:20,Al-Ittihad FC,Al-Hilal,1,3
212,21.09.2019,18:20,Al-Fateh,Al Ahli SC,0,2
213,21.09.2019,18:15,Al-Ettifaq,Al-Faisaly,0,1
214,20.09.2019,20:20,Al-Nassr,Al-Hazem,0,1
215,20.09.2019,18:35,Al Feiha,Al Wehda,0,1
216,20.09.2019,18:20,Al-Adalah,Abha,2,1
217,19.09.2019,18:50,Damk,Al-Shabab,1,1
218,15.09.2019,20:10,Al-Faisaly,Al-Fateh,3,2
219,15.09.2019,18:50,Al-Hazem,Al-Ettifaq,0,6
220,14.09.2019,20:35,Al Ahli SC,Al Wehda,1,2
221,14.09.2019,18:50,Abha,Al-Raed,1,1
222,14.09.2019,18:40,Al-Hilal,Al Feiha,1,1
223,13.09.2019,20:35,Al-Nassr,Al-Shabab,0,0
224,13.09.2019,18:50,Al-Taawon,Al-Adalah,3,2
225,13.09.2019,18:50,Damk,Al-Ittihad FC,2,1
226,31.08.2019,19:05,Al-Raed,Al-Hilal,0,5
227,31.08.2019,18:40,Al-Ettifaq,Al Ahli SC,1,2
228,30.08.2019,20:40,Al Wehda,Abha,1,2
229,30.08.2019,20:40,Al-Fateh,Al-Nassr,0,1
230,30.08.2019,18:55,Al-Shabab,Al-Faisaly,0,0
231,29.08.2019,20:20,Al Feiha,Al-Hazem,2,1
232,29.08.2019,18:45,Al-Adalah,Damk,4,0
233,24.08.2019,20:50,Al Wehda,Al-Ettifaq,0,2
234,24.08.2019,19:05,Al-Faisaly,Al Feiha,0,0
235,24.08.2019,18:50,Al-Fateh,Al-Shabab,1,2
236,23.08.2019,20:50,Al-Ittihad FC,Al-Raed,3,1
237,23.08.2019,19:10,Al-Taawon,Al-Hazem,1,1
238,23.08.2019,19:00,Al-Hilal,Abha,4,2
239,22.08.2019,20:50,Al Ahli SC,Al-Adalah,1,1
240,22.08.2019,19:00,Al-Nassr,Damk,2,0
