matchNo,Date,Time,Team1,Team2,Score1,Score2
1,31.05.2023,21:00,Damk,Al-Shabab,1,4
2,31.05.2023,21:00,Al-Adalah,Al-Ettifaq,0,2
3,31.05.2023,21:00,Al Wehda,Al Feiha,0,1
4,31.05.2023,21:00,Al-Nassr,Al-Fateh,3,0
5,31.05.2023,21:00,Al-Hilal,Al-Raed,3,2
6,31.05.2023,21:00,Al-Ittihad FC,Al Taee,2,0
7,31.05.2023,21:00,Al Khaleej,Abha,3,1
8,31.05.2023,21:00,Al-Taawon,Al Batin,3,1
9,27.05.2023,21:00,Al Taee,Al Wehda,1,2
10,27.05.2023,21:00,Al-Fateh,Damk,1,1
11,27.05.2023,21:00,Al Batin,Al-Adalah,2,2
12,27.05.2023,21:00,Al Feiha,Al-Ittihad FC,0,3
13,27.05.2023,21:00,Al-Shabab,Al-Taawon,0,3
14,27.05.2023,21:00,Al-Raed,Al Khaleej,0,0
15,27.05.2023,21:00,Abha,Al-Hilal,0,3
16,27.05.2023,21:00,Al-Ettifaq,Al-Nassr,1,1
17,23.05.2023,21:30,Al-Nassr,Al-Shabab,3,2
18,23.05.2023,21:30,Al-Ittihad FC,Al Batin,1,0
19,23.05.2023,19:00,Al-Adalah,Al-Hilal,2,0
20,22.05.2023,21:30,Al Wehda,Al Khaleej,1,4
21,22.05.2023,21:30,Al-Taawon,Al Taee,2,1
22,22.05.2023,19:00,Damk,Abha,1,0
23,22.05.2023,19:00,Al Feiha,Al-Raed,1,1
24,22.05.2023,19:00,Al-Ettifaq,Al-Fateh,0,4
25,19.05.2023,21:00,Damk,Al-Hilal,0,1
26,18.05.2023,19:00,Al-Shabab,Al Wehda,0,1
27,18.05.2023,19:00,Abha,Al-Ettifaq,2,1
28,16.05.2023,21:30,Al-Hilal,Al-Ittihad FC,2,2
29,16.05.2023,21:30,Al Taee,Al-Nassr,0,2
30,15.05.2023,21:30,Al-Fateh,Al-Adalah,2,4
31,15.05.2023,19:00,Al-Raed,Damk,5,0
32,15.05.2023,19:00,Al Khaleej,Al-Taawon,0,2
33,15.05.2023,19:00,Al Batin,Al Feiha,0,0
34,14.05.2023,19:00,Al-Ettifaq,Al-Shabab,1,0
35,10.05.2023,19:00,Al Batin,Al Taee,4,3
36,09.05.2023,19:00,Al-Taawon,Al-Raed,2,1
37,09.05.2023,19:00,Al Feiha,Al-Fateh,3,0
38,08.05.2023,21:30,Al-Ittihad FC,Abha,4,0
39,08.05.2023,19:00,Al-Adalah,Al Wehda,1,2
40,08.05.2023,19:00,Al-Nassr,Al Khaleej,1,1
41,03.05.2023,21:30,Al Wehda,Damk,0,2
42,03.05.2023,21:30,Al-Shabab,Al-Fateh,1,0
43,03.05.2023,19:00,Al-Taawon,Al-Ittihad FC,2,1
44,02.05.2023,21:30,Al Khaleej,Al-Ettifaq,2,1
45,02.05.2023,21:30,Al Taee,Al Feiha,2,1
46,02.05.2023,19:00,Abha,Al-Adalah,1,0
47,02.05.2023,19:00,Al-Raed,Al Batin,3,1
48,28.04.2023,21:30,Al-Nassr,Al-Raed,4,0
49,28.04.2023,21:30,Al Feiha,Al Khaleej,0,3
50,28.04.2023,19:00,Al-Fateh,Al Wehda,1,1
51,28.04.2023,19:00,Al-Ettifaq,Damk,2,0
52,27.04.2023,21:30,Al-Ittihad FC,Al-Shabab,2,1
53,27.04.2023,19:00,Al-Adalah,Al-Taawon,2,1
54,27.04.2023,19:00,Al Taee,Abha,1,0
55,18.04.2023,22:00,Al-Hilal,Al-Nassr,2,0
56,14.04.2023,22:00,Al Batin,Al-Hilal,1,0
57,14.04.2023,22:00,Al-Ettifaq,Al Feiha,1,0
58,11.04.2023,22:00,Al Khaleej,Al-Shabab,2,3
59,10.04.2023,22:00,Damk,Al-Adalah,2,2
60,10.04.2023,22:00,Al-Hilal,Al Taee,2,2
61,10.04.2023,22:00,Al-Raed,Al-Fateh,0,3
62,09.04.2023,23:00,Al Wehda,Al-Ittihad FC,1,2
63,09.04.2023,22:00,Al Feiha,Al-Nassr,0,0
64,09.04.2023,22:00,Abha,Al Batin,3,2
65,09.04.2023,22:00,Al-Taawon,Al-Ettifaq,1,1
66,07.04.2023,22:00,Al-Shabab,Al-Hilal,3,0
67,06.04.2023,22:00,Al-Fateh,Al Khaleej,2,0
68,05.04.2023,22:00,Al Batin,Al Wehda,2,0
69,05.04.2023,22:00,Al Taee,Al-Raed,2,2
70,05.04.2023,22:00,Abha,Al-Taawon,1,1
71,04.04.2023,22:00,Al-Ittihad FC,Damk,3,0
72,04.04.2023,22:00,Al-Adalah,Al-Nassr,0,5
73,04.04.2023,22:00,Al Feiha,Al-Hilal,0,2
74,01.04.2023,22:00,Al-Hilal,Al Khaleej,2,0
75,18.03.2023,20:30,Al-Hilal,Al-Ettifaq,3,0
76,18.03.2023,20:30,Al-Nassr,Abha,2,1
77,18.03.2023,20:30,Al-Raed,Al-Shabab,2,2
78,18.03.2023,16:00,Al-Fateh,Al-Ittihad FC,1,5
79,17.03.2023,20:30,Al Wehda,Al-Taawon,1,1
80,17.03.2023,16:00,Damk,Al Batin,1,0
81,17.03.2023,16:00,Al Feiha,Al-Adalah,1,1
82,16.03.2023,16:00,Al Khaleej,Al Taee,2,2
83,11.03.2023,18:00,Al-Adalah,Al-Raed,0,3
84,11.03.2023,16:00,Al Taee,Damk,1,3
85,10.03.2023,20:30,Al-Taawon,Al-Hilal,0,4
86,10.03.2023,16:00,Abha,Al-Fateh,2,2
87,09.03.2023,20:30,Al-Ittihad FC,Al-Nassr,1,0
88,09.03.2023,20:30,Al-Shabab,Al Feiha,3,2
89,09.03.2023,16:00,Al-Ettifaq,Al Wehda,1,1
