matchNo,Date,Time,Team1,Team2,Score1,Score2
90,09.03.2023,16:00,Al Batin,Al Khaleej,1,0
91,06.03.2023,20:30,Al-Hilal,Al-Fateh,1,2
92,04.03.2023,20:30,Al-Shabab,Al-Adalah,1,2
93,04.03.2023,16:00,Damk,Al-Taawon,1,2
94,03.03.2023,20:30,Al-Nassr,Al Batin,3,1
95,03.03.2023,16:00,Al Khaleej,Al-Ittihad FC,0,3
96,03.03.2023,16:00,Al-Raed,Al-Ettifaq,1,2
97,02.03.2023,20:30,Al Wehda,Al-Hilal,3,3
98,02.03.2023,16:00,Al-Fateh,Al Taee,2,3
99,02.03.2023,16:00,Al Feiha,Abha,2,0
100,25.02.2023,18:30,Damk,Al-Nassr,0,3
101,25.02.2023,16:00,Al Batin,Al-Ettifaq,1,0
102,24.02.2023,18:00,Al-Adalah,Al Khaleej,2,0
103,24.02.2023,16:00,Abha,Al Wehda,1,2
104,23.02.2023,20:30,Al-Ittihad FC,Al-Raed,0,0
105,23.02.2023,16:00,Al-Taawon,Al Feiha,1,1
106,18.02.2023,18:00,Al Khaleej,Damk,2,0
107,18.02.2023,16:00,Al-Fateh,Al Batin,2,0
108,17.02.2023,20:30,Al Wehda,Al-Raed,2,2
109,17.02.2023,18:00,Al-Nassr,Al-Taawon,2,1
110,16.02.2023,20:30,Al-Ettifaq,Al-Ittihad FC,0,3
111,16.02.2023,18:00,Al-Adalah,Al Taee,2,2
112,14.02.2023,18:00,Al-Shabab,Abha,2,0
113,10.02.2023,20:30,Al-Ittihad FC,Al-Adalah,5,0
114,10.02.2023,16:00,Damk,Al Feiha,1,1
115,10.02.2023,16:00,Al Taee,Al-Ettifaq,2,0
116,10.02.2023,16:00,Al-Raed,Abha,3,1
117,09.02.2023,20:30,Al Wehda,Al-Nassr,0,4
118,09.02.2023,18:00,Al-Taawon,Al-Fateh,1,2
119,09.02.2023,16:00,Al Batin,Al-Shabab,2,4
120,04.02.2023,18:00,Al Feiha,Al Wehda,2,0
121,04.02.2023,16:00,Al Taee,Al-Ittihad FC,0,1
122,03.02.2023,20:30,Al-Ettifaq,Al-Adalah,3,2
123,03.02.2023,18:00,Al-Fateh,Al-Nassr,2,2
124,02.02.2023,18:00,Al Batin,Al-Taawon,0,1
125,02.02.2023,18:00,Al-Shabab,Damk,2,1
126,02.02.2023,16:00,Abha,Al Khaleej,2,0
127,27.01.2023,20:30,Al Wehda,Al-Fateh,0,2
128,27.01.2023,18:00,Al Taee,Al-Shabab,1,2
129,22.01.2023,20:30,Al-Nassr,Al-Ettifaq,1,0
130,22.01.2023,18:00,Al-Hilal,Abha,2,1
131,21.01.2023,18:00,Al Wehda,Al Taee,1,0
132,20.01.2023,20:30,Al-Taawon,Al-Shabab,1,1
133,20.01.2023,18:00,Damk,Al-Fateh,3,1
134,20.01.2023,15:30,Al Khaleej,Al-Raed,3,0
135,19.01.2023,18:00,Al-Ittihad FC,Al Feiha,3,0
136,19.01.2023,15:30,Al-Adalah,Al Batin,1,1
137,15.01.2023,18:00,Al-Hilal,Al-Adalah,2,0
138,14.01.2023,20:30,Al-Shabab,Al-Nassr,0,0
139,14.01.2023,18:00,Al-Raed,Al Feiha,2,4
140,14.01.2023,15:30,Al Batin,Al-Ittihad FC,1,2
141,13.01.2023,18:00,Al Khaleej,Al Wehda,3,2
142,13.01.2023,15:30,Abha,Damk,2,1
143,12.01.2023,15:30,Al-Fateh,Al-Ettifaq,2,0
144,12.01.2023,15:30,Al Taee,Al-Taawon,1,3
145,10.01.2023,20:30,Al-Raed,Al-Hilal,1,1
146,09.01.2023,21:15,Al-Shabab,Al-Ittihad FC,1,1
147,07.01.2023,18:00,Al-Ettifaq,Abha,2,1
148,07.01.2023,15:30,Al Feiha,Al Batin,2,2
149,06.01.2023,18:00,Al-Adalah,Al-Fateh,2,1
150,06.01.2023,18:00,Al-Taawon,Al Khaleej,0,1
151,06.01.2023,18:00,Al-Nassr,Al Taee,2,0
152,05.01.2023,20:30,Al-Ittihad FC,Al-Hilal,0,1
153,05.01.2023,20:30,Al Wehda,Al-Shabab,2,1
154,05.01.2023,15:30,Damk,Al-Raed,1,2
155,31.12.2022,20:30,Al-Hilal,Damk,2,2
156,31.12.2022,20:30,Al Khaleej,Al-Nassr,0,1
157,31.12.2022,18:00,Al-Raed,Al-Taawon,2,3
158,31.12.2022,15:30,Al Taee,Al Batin,4,0
159,31.12.2022,15:30,Abha,Al-Ittihad FC,1,2
160,30.12.2022,20:30,Al-Shabab,Al-Ettifaq,3,0
161,30.12.2022,18:00,Al Wehda,Al-Adalah,0,0
162,30.12.2022,15:30,Al-Fateh,Al Feiha,0,2
163,26.12.2022,20:30,Al-Nassr,Al-Hilal,2,2
164,26.12.2022,18:00,Al-Ittihad FC,Al-Taawon,3,0
165,26.12.2022,18:00,Al Feiha,Al Taee,2,1
166,26.12.2022,15:30,Al Batin,Al-Raed,1,2
167,26.12.2022,15:30,Al-Fateh,Al-Shabab,4,1
168,25.12.2022,20:30,Al-Ettifaq,Al Khaleej,1,0
169,25.12.2022,18:00,Al-Adalah,Abha,0,2
170,25.12.2022,15:30,Damk,Al Wehda,0,0
171,16.12.2022,20:30,Al-Hilal,Al Batin,3,1
172,16.12.2022,18:00,Al-Raed,Al-Nassr,1,4
173,16.12.2022,15:30,Abha,Al Taee,2,1
174,15.12.2022,18:00,Al-Taawon,Al-Adalah,4,1
175,15.12.2022,15:30,Damk,Al-Ettifaq,0,0
176,15.12.2022,15:30,Al Khaleej,Al Feiha,1,2
177,16.10.2022,20:30,Al-Ettifaq,Al-Taawon,0,1
178,16.10.2022,20:30,Al-Ittihad FC,Al Wehda,1,0
179,16.10.2022,20:30,Al-Adalah,Damk,0,2
180,16.10.2022,17:45,Al Batin,Abha,1,3
181,16.10.2022,17:45,Al-Nassr,Al Feiha,4,0
182,15.10.2022,20:45,Al-Fateh,Al-Raed,1,0
183,15.10.2022,20:45,Al-Shabab,Al Khaleej,4,0
184,15.10.2022,18:30,Al Taee,Al-Hilal,2,3
185,11.10.2022,20:30,Al Feiha,Al-Ettifaq,0,3
186,11.10.2022,20:30,Al-Nassr,Al-Adalah,4,1
187,11.10.2022,20:30,Al Khaleej,Al-Fateh,1,2
188,11.10.2022,18:15,Al-Taawon,Abha,1,3
189,11.10.2022,18:15,Damk,Al-Ittihad FC,1,1
190,10.10.2022,20:30,Al-Hilal,Al-Shabab,1,1
191,10.10.2022,20:30,Al Wehda,Al Batin,2,0
192,10.10.2022,18:15,Al-Raed,Al Taee,0,2
193,07.10.2022,21:00,Al-Adalah,Al Feiha,2,1
194,07.10.2022,21:00,Al-Ittihad FC,Al-Fateh,3,1
195,07.10.2022,18:30,Abha,Al-Nassr,0,3
196,06.10.2022,21:00,Al-Shabab,Al-Raed,1,0
197,06.10.2022,21:00,Al Batin,Damk,2,2
198,06.10.2022,21:00,Al-Ettifaq,Al-Hilal,0,0
199,06.10.2022,18:30,Al Taee,Al Khaleej,3,0
200,06.10.2022,18:30,Al-Taawon,Al Wehda,2,0
201,02.10.2022,21:00,Al-Fateh,Abha,3,0
202,02.10.2022,21:00,Al-Nassr,Al-Ittihad FC,0,0
203,02.10.2022,18:20,Al-Hilal,Al-Taawon,1,2
204,02.10.2022,18:20,Al Feiha,Al-Shabab,1,2
205,01.10.2022,21:00,Al Khaleej,Al Batin,1,0
206,01.10.2022,21:00,Al Wehda,Al-Ettifaq,1,1
207,01.10.2022,18:30,Damk,Al Taee,2,0
208,01.10.2022,18:30,Al-Raed,Al-Adalah,2,1
209,16.09.2022,21:00,Al-Hilal,Al Wehda,3,0
210,16.09.2022,18:50,Al-Taawon,Damk,1,1
211,16.09.2022,18:50,Abha,Al Feiha,1,1
212,15.09.2022,21:00,Al-Ittihad FC,Al Khaleej,2,0
213,15.09.2022,21:00,Al-Ettifaq,Al-Raed,1,2
214,15.09.2022,18:40,Al Batin,Al-Nassr,0,4
215,14.09.2022,21:00,Al-Adalah,Al-Shabab,0,1
216,14.09.2022,18:55,Al Taee,Al-Fateh,1,0
217,10.09.2022,21:00,Al-Nassr,Damk,2,1
218,10.09.2022,18:45,Al Feiha,Al-Taawon,1,1
219,09.09.2022,21:00,Al-Raed,Al-Ittihad FC,0,1
220,09.09.2022,18:30,Al-Ettifaq,Al Batin,3,0
221,08.09.2022,21:00,Al Wehda,Abha,1,0
222,08.09.2022,21:00,Al-Shabab,Al Taee,4,0
223,08.09.2022,18:30,Al Khaleej,Al-Adalah,0,0
224,04.09.2022,18:35,Al-Fateh,Al-Hilal,0,1
225,03.09.2022,21:00,Al-Ittihad FC,Al-Ettifaq,0,0
226,03.09.2022,19:00,Al-Taawon,Al-Nassr,1,0
227,02.09.2022,21:00,Damk,Al Khaleej,2,1
228,02.09.2022,19:00,Al Taee,Al-Adalah,1,0
229,01.09.2022,21:00,Abha,Al-Shabab,0,4
230,01.09.2022,19:00,Al-Raed,Al Wehda,1,0
231,31.08.2022,21:00,Al-Hilal,Al Feiha,2,0
232,31.08.2022,18:55,Al Batin,Al-Fateh,0,5
233,27.08.2022,21:00,Abha,Al-Raed,2,1
234,27.08.2022,21:00,Al-Nassr,Al Wehda,1,0
235,27.08.2022,18:45,Al-Fateh,Al-Taawon,0,2
236,26.08.2022,21:00,Al-Shabab,Al Batin,3,0
237,26.08.2022,18:45,Al-Ettifaq,Al Taee,1,2
238,26.08.2022,18:45,Al-Adalah,Al-Ittihad FC,0,3
239,25.08.2022,21:00,Al Khaleej,Al-Hilal,0,2
240,25.08.2022,19:05,Al Feiha,Damk,0,1
