"matchNo","Date","Time","Team1","Team2","Score1","Score2","Season"
49,"23.11.2001","20:00","Al Ahli SC","Al-Shabab",2,1,"2001-2002"
50,"24.11.2001","20:00","Al-Shoalah","Al Wehda",1,0,"2001-2002"
51,"24.11.2001","20:00","Al-Nassr","Al-Ettifaq",2,2,"2001-2002"
52,"29.11.2001","20:00","Al-Shabab","Al-Shoalah",0,0,"2001-2002"
53,"29.11.2001","20:00","Al-Ettifaq","Al Taee",3,1,"2001-2002"
54,"29.11.2001","20:00","Al Riyadh","Al-Ittihad FC",2,1,"2001-2002"
55,"29.11.2001","20:00","Al Najma","Al Wehda",1,1,"2001-2002"
56,"29.11.2001","20:00","Al Ansar","Al-Nassr",2,4,"2001-2002"
57,"03.12.2001","20:00","Al-Shabab","Al Najma",2,3,"2001-2002"
58,"03.12.2001","20:00","Al Wehda","Al-Ettifaq",1,2,"2001-2002"
59,"03.12.2001","20:00","Al Taee","Al Ansar",1,1,"2001-2002"
60,"04.12.2001","20:00","Al-Hilal","Al-Nassr",0,0,"2001-2002"
61,"11.12.2001","20:00","Al-Ittihad FC","Al-Hilal",1,1,"2001-2002"
62,"19.12.2001","20:00","Al-Ettifaq","Al-Hilal",0,4,"2001-2002"
63,"19.12.2001","20:00","Al Riyadh","Al Najma",4,2,"2001-2002"
64,"19.12.2001","20:00","Al Ansar","Al Wehda",2,2,"2001-2002"
65,"23.12.2001","20:00","Al Taee","Al-Nassr",2,1,"2001-2002"
66,"23.12.2001","20:00","Al Riyadh","Al-Ettifaq",2,1,"2001-2002"
67,"24.12.2001","20:00","Al Ansar","Al-Ittihad FC",1,2,"2001-2002"
68,"24.12.2001","20:00","Al Ahli SC","Al Najma",5,2,"2001-2002"
69,"27.12.2001","20:00","Al Taee","Al-Ittihad FC",2,1,"2001-2002"
70,"27.12.2001","20:00","Al Riyadh","Al Ansar",2,3,"2001-2002"
71,"28.12.2001","20:00","Al-Nassr","Al Wehda",3,0,"2001-2002"
72,"28.12.2001","20:00","Al Najma","Al-Shoalah",0,0,"2001-2002"
73,"28.12.2001","20:00","Al Ahli SC","Al-Ettifaq",2,0,"2001-2002"
74,"02.01.2002","20:00","Al Wehda","Al Taee",0,1,"2001-2002"
75,"03.01.2002","20:00","Al-Hilal","Al Riyadh",1,1,"2001-2002"
76,"03.01.2002","20:00","Al-Ettifaq","Al-Shoalah",1,0,"2001-2002"
77,"03.01.2002","20:00","Al Ahli SC","Al Ansar",3,1,"2001-2002"
78,"09.01.2002","20:00","Al-Hilal","Al Wehda",3,0,"2001-2002"
79,"09.01.2002","20:00","Al Ansar","Al-Shabab",0,1,"2001-2002"
80,"10.01.2002","16:00","Al-Ittihad FC","Al-Ettifaq",1,0,"2001-2002"
81,"10.01.2002","20:00","Al-Nassr","Al Ahli SC",2,0,"2001-2002"
82,"10.01.2002","20:00","Al-Ittihad FC","Al-Shoalah",2,0,"2001-2002"
83,"10.01.2002","20:00","Al-Hilal","Al-Shoalah",2,0,"2001-2002"
84,"10.01.2002","20:00","Al Wehda","Al-Shabab",0,1,"2001-2002"
85,"10.01.2002","20:00","Al Taee","Al Riyadh",2,4,"2001-2002"
86,"10.01.2002","20:00","Al Najma","Al Ansar",2,0,"2001-2002"
87,"13.01.2002","20:00","Al-Shabab","Al Taee",0,1,"2001-2002"
88,"13.01.2002","20:00","Al Najma","Al-Ettifaq",2,0,"2001-2002"
89,"14.01.2002","20:00","Al Riyadh","Al-Nassr",1,1,"2001-2002"
90,"15.01.2002","20:00","Al-Ittihad FC","Al Wehda",3,0,"2001-2002"
91,"15.01.2002","20:00","Al-Hilal","Al Ahli SC",2,0,"2001-2002"
92,"15.01.2002","20:00","Al Ansar","Al-Shoalah",1,1,"2001-2002"
93,"21.01.2002","20:00","Al-Shoalah","Al Ahli SC",0,2,"2001-2002"
94,"21.01.2002","20:00","Al-Shabab","Al-Hilal",1,2,"2001-2002"
95,"21.01.2002","20:00","Al Najma","Al-Ittihad FC",2,3,"2001-2002"
96,"21.01.2002","20:00","Al Ansar","Al-Ettifaq",2,2,"2001-2002"
97,"29.01.2002","20:00","Al-Hilal","Al Najma",3,2,"2001-2002"
98,"11.02.2002","20:00","Al-Hilal","Al Ansar",5,2,"2001-2002"
99,"11.02.2002","20:00","Al Taee","Al Ahli SC",0,0,"2001-2002"
100,"12.02.2002","20:00","Al-Shoalah","Al-Nassr",0,1,"2001-2002"
101,"12.02.2002","20:00","Al-Ittihad FC","Al-Shabab",3,2,"2001-2002"
102,"12.02.2002","20:00","Al Riyadh","Al Wehda",3,1,"2001-2002"
103,"27.02.2002","20:00","Al-Shabab","Al Riyadh",1,1,"2001-2002"
104,"28.02.2002","20:00","Al-Shoalah","Al Taee",1,1,"2001-2002"
105,"28.02.2002","20:00","Al-Nassr","Al Najma",4,1,"2001-2002"
106,"28.02.2002","20:00","Al Wehda","Al Ahli SC",1,2,"2001-2002"
107,"05.03.2002","20:00","Al-Shabab","Al Ahli SC",1,3,"2001-2002"
108,"06.03.2002","20:00","Al-Ittihad FC","Al Riyadh",10,3,"2001-2002"
109,"06.03.2002","20:00","Al Taee","Al Najma",0,1,"2001-2002"
110,"07.03.2002","20:00","Al-Ettifaq","Al-Nassr",0,1,"2001-2002"
111,"07.03.2002","20:00","Al Wehda","Al-Shoalah",2,0,"2001-2002"
112,"13.03.2002","20:00","Al-Nassr","Al Ansar",3,1,"2001-2002"
113,"13.03.2002","20:00","Al Taee","Al-Ettifaq",1,1,"2001-2002"
114,"14.03.2002","20:00","Al Wehda","Al Najma",4,4,"2001-2002"
115,"15.03.2002","20:00","Al-Shoalah","Al-Shabab",1,4,"2001-2002"
116,"16.03.2002","20:00","Al-Hilal","Al-Ittihad FC",1,1,"2001-2002"
117,"20.03.2002","20:00","Al Riyadh","Al-Shoalah",0,3,"2001-2002"
118,"20.03.2002","20:00","Al Ansar","Al Taee",0,7,"2001-2002"
119,"21.03.2002","20:00","Al-Nassr","Al-Hilal",3,2,"2001-2002"
120,"21.03.2002","20:00","Al-Ettifaq","Al Wehda",2,1,"2001-2002"
121,"21.03.2002","20:00","Al Najma","Al-Shabab",4,3,"2001-2002"
122,"28.03.2002","20:00","Al Wehda","Al Ansar",3,2,"2001-2002"
123,"28.03.2002","20:00","Al Najma","Al Riyadh",2,1,"2001-2002"
124,"28.03.2002","20:00","Al Ahli SC","Al-Shoalah",1,1,"2001-2002"
125,"29.03.2002","20:00","Al-Shabab","Al-Ettifaq",1,1,"2001-2002"
126,"29.03.2002","20:00","Al-Ittihad FC","Al-Nassr",3,2,"2001-2002"
127,"03.04.2002","19:00","Al Riyadh","Al Ahli SC",1,1,"2001-2002"
128,"05.04.2002","19:00","Al-Ettifaq","Al-Shabab",2,1,"2001-2002"
129,"06.04.2002","19:00","Al Ansar","Al-Hilal",1,6,"2001-2002"
130,"08.04.2002","19:00","Al-Ittihad FC","Al Ahli SC",4,1,"2001-2002"
131,"09.04.2002","19:00","Al-Nassr","Al-Shabab",0,0,"2001-2002"
132,"10.04.2002","19:00","Al-Hilal","Al Taee",6,0,"2001-2002"
134,"14.04.2002","14:00","Al-Nassr","Al Ahli SC",1,0,"2001-2002"
135,"19.04.2002","14:00","Al-Ittihad FC","Al-Nassr",2,1,"2001-2002"
136,"01.05.2002","14:00","Al-Hilal","Al-Ittihad FC",2,1,"2001-2002"
1,"23.10.2002","19:00","Al-Hilal","Al-Raed",1,0,"2002-2003"
2,"23.10.2002","19:00","Al Taee","Al-Nassr",2,2,"2002-2003"
3,"24.10.2002","19:00","Al-Shoalah","Al-Ettifaq",3,2,"2002-2003"
4,"24.10.2002","19:00","Al-Ittihad FC","Al Qadisiya",1,0,"2002-2003"
5,"24.10.2002","19:00","Al Najma","Al Riyadh",0,1,"2002-2003"
6,"27.10.2002","20:00","Al Taee","Al-Hilal",1,2,"2002-2003"
7,"27.10.2002","20:00","Al Ahli SC","Al-Shabab",2,4,"2002-2003"
8,"30.10.2002","20:00","Al-Nassr","Al Najma",2,0,"2002-2003"
9,"31.10.2002","20:00","Al-Ettifaq","Al Ahli SC",0,4,"2002-2003"
10,"31.10.2002","20:00","Al Riyadh","Al-Shoalah",3,1,"2002-2003"
11,"01.11.2002","20:00","Al-Shabab","Al-Ittihad FC",0,1,"2002-2003"
12,"01.11.2002","20:00","Al-Raed","Al Taee",2,3,"2002-2003"
13,"01.11.2002","20:00","Al Qadisiya","Al-Hilal",2,1,"2002-2003"
14,"04.11.2002","20:00","Al Ahli SC","Al-Nassr",3,2,"2002-2003"
15,"06.11.2002","20:00","Al-Shabab","Al Qadisiya",1,2,"2002-2003"
16,"07.11.2002","20:00","Al-Ittihad FC","Al-Ettifaq",3,1,"2002-2003"
17,"07.11.2002","20:00","Al-Hilal","Al Taee",0,2,"2002-2003"
18,"08.11.2002","20:00","Al-Shoalah","Al-Nassr",1,3,"2002-2003"
19,"08.11.2002","20:00","Al Najma","Al-Raed",1,2,"2002-2003"
20,"08.11.2002","20:00","Al Ahli SC","Al Riyadh",3,0,"2002-2003"
21,"13.11.2002","20:00","Al-Raed","Al-Shoalah",0,4,"2002-2003"
22,"13.11.2002","20:00","Al-Hilal","Al-Shabab",2,1,"2002-2003"
23,"14.11.2002","20:00","Al-Ettifaq","Al Qadisiya",1,2,"2002-2003"
24,"14.11.2002","20:00","Al Taee","Al Najma",2,1,"2002-2003"
25,"14.11.2002","20:00","Al Riyadh","Al-Ittihad FC",1,2,"2002-2003"
26,"17.11.2002","20:00","Al-Hilal","Al-Shoalah",0,0,"2002-2003"
27,"20.11.2002","20:00","Al-Shabab","Al-Ettifaq",0,0,"2002-2003"
28,"21.11.2002","20:00","Al-Nassr","Al-Ittihad FC",2,4,"2002-2003"
29,"21.11.2002","20:00","Al Qadisiya","Al Riyadh",1,0,"2002-2003"
30,"22.11.2002","20:00","Al-Shoalah","Al Taee",3,1,"2002-2003"
31,"22.11.2002","20:00","Al Najma","Al-Hilal",1,2,"2002-2003"
32,"10.12.2002","20:00","Al-Nassr","Al Qadisiya",1,2,"2002-2003"
33,"10.12.2002","20:00","Al-Ittihad FC","Al-Raed",3,2,"2002-2003"
34,"10.12.2002","20:00","Al Taee","Al Ahli SC",1,1,"2002-2003"
35,"10.12.2002","20:00","Al Najma","Al-Shoalah",1,1,"2002-2003"
36,"11.12.2002","20:00","Al-Hilal","Al-Ettifaq",3,1,"2002-2003"
37,"11.12.2002","20:00","Al Riyadh","Al-Shabab",0,3,"2002-2003"
38,"15.12.2002","20:00","Al-Shoalah","Al-Hilal",1,3,"2002-2003"
39,"15.12.2002","20:00","Al-Shabab","Al-Nassr",2,2,"2002-2003"
40,"15.12.2002","20:00","Al Qadisiya","Al-Raed",2,2,"2002-2003"
41,"15.12.2002","20:00","Al Ahli SC","Al Najma",3,1,"2002-2003"
42,"16.12.2002","20:00","Al-Ittihad FC","Al Taee",1,1,"2002-2003"
43,"16.12.2002","20:00","Al-Ettifaq","Al Riyadh",1,0,"2002-2003"
44,"19.12.2002","20:00","Al-Shoalah","Al Ahli SC",3,3,"2002-2003"
45,"19.12.2002","20:00","Al-Raed","Al-Shabab",1,3,"2002-2003"
46,"20.12.2002","20:00","Al-Nassr","Al-Ettifaq",0,0,"2002-2003"
47,"20.12.2002","20:00","Al Taee","Al Qadisiya",0,3,"2002-2003"
48,"20.12.2002","20:00","Al Najma","Al-Ittihad FC",1,4,"2002-2003"
49,"21.12.2002","20:00","Al Riyadh","Al-Hilal",1,1,"2002-2003"
50,"23.12.2002","20:00","Al-Raed","Al Ahli SC",0,5,"2002-2003"
51,"25.12.2002","20:00","Al-Shabab","Al Taee",1,0,"2002-2003"
52,"25.12.2002","20:00","Al-Ittihad FC","Al-Shoalah",1,3,"2002-2003"
53,"26.12.2002","20:00","Al Riyadh","Al-Nassr",0,3,"2002-2003"
54,"26.12.2002","20:00","Al Qadisiya","Al Najma",1,0,"2002-2003"
55,"27.12.2002","20:00","Al-Ettifaq","Al-Raed",4,0,"2002-2003"
56,"27.12.2002","20:00","Al Ahli SC","Al-Hilal",0,1,"2002-2003"
